50,50
50,51
50,52
50,53
50,54
50,55
50,56
50,57
50,58
50,59
51,50
51,51
51,52
51,53
51,54
51,55
51,56
51,57
51,58
51,59
52,50
52,51
52,52
52,53
52,54
52,55
52,56
52,57
52,58
52,59
53,50
53,51
53,52
53,53
53,54
53,55
53,56
53,57
53,58
53,59
54,50
54,51
54,52
54,53
54,54
54,55
54,56
54,57
54,58
54,59
55,50
55,51
55,52
55,53
55,54
55,55
55,56
55,57
55,58
55,59
56,50
56,51
56,52
56,53
56,54
56,55
56,56
56,57
56,58
56,59
57,50
57,51
57,52
57,53
57,54
57,55
57,56
57,57
57,58
57,59
58,50
58,51
58,52
58,53
58,54
58,55
58,56
58,57
58,58
58,59
59,50
59,51
59,52
59,53
59,54
59,55
59,56
59,57
59,58
59,59
